975450,335157,109187,55398,33068,19802,8282,14595,-12738,4219,880529,485217,74839,131417,34947,21519,9719,8233,2820,1137366,654635,269164,81313,25040,34548,14898,6668,1175491,390182,88745,49337,35760,19019,14328,1399977,502069,133584,59094,20420,24835,1515617,510055,92872,51257,43990,1840716,557413,104208,72230,1835428,501449,90487,2278862,659904,2669491
876750,477614,72645,119912,34291,21065,9660,8186,2877,2931,1128925,641193,260974,80371,24670,34113,14608,6527,9248,1172231,385295,87151,48750,35426,18856,14070,7243,1396694,494332,129748,57530,22372,24436,27709,1510640,500579,90786,50174,43574,25187,1835456,548941,101127,70317,40918,1830565,492252,88942,51589,2272123,648121,123272,2663156,845534,3081839
1128019,640974,259942,80481,24693,34196,14623,6506,9337,5141,1172112,384573,86948,48608,35393,18851,14022,7245,6778,1396131,493280,129117,57335,22861,24370,27702,13527,1510052,498792,90464,50015,43526,25144,26135,1834877,547497,100882,70689,40877,32578,1829671,490951,88819,51439,34918,2271205,646451,123152,76700,2661859,843506,278697,3080359,899872,3837252
75858,20261,7921,3815,1555,1253,505,2124,222,67,73963,34039,19818,309,2787,422,1203,461,192,73394,12242,9103,8358,2066,598,978,221,74826,12705,7540,3912,2635,1444,964,76258,17065,12012,7853,4206,5825,76631,23412,8755,4523,3816,72431,25747,8598,6196,69948,22307,15723,83137,91255,166179
73963,34039,19818,309,2787,422,1203,461,191,158,73394,12242,9103,8358,2066,598,978,202,222,74826,12705,7540,3912,2635,1444,962,1346,76258,17065,12012,7853,4206,5825,6399,76631,23412,8755,4523,3814,6040,72431,25747,8598,6196,2920,69948,22307,15232,5038,96983,91179,52325,166179,57422,207190
73394,12242,9103,8358,2066,598,978,221,203,50,74826,12705,7540,3912,2635,1444,969,1339,5299,76258,17065,12012,7853,4206,5825,6399,5519,76631,23412,8755,4523,3816,6039,5799,72431,25747,8508,6196,2920,2676,69948,22307,15723,4546,82911,96983,91255,52249,30760,166179,57422,82199,207190,98776,261138
123606,121008,45477,29707,31375,23478,15714,9995,8438,3436,124142,109737,38599,36445,19455,24183,10064,10497,7344,114270,106146,49338,31851,28704,19449,17754,8114,112054,136668,46046,32322,19034,19693,14178,121123,117050,46480,22963,27349,26850,119277,115252,41639,28434,32092,119755,112775,44548,29444,123096,107913,42519,124959,120561,137269
819337,603273,142700,76457,39147,61616,40055,34846,40482,23324,1011039,641055,148062,85231,73480,55887,47175,28222,26907,963422,604885,174478,82858,61136,54182,42632,40684,881353,615111,153342,75626,87711,73702,53307,907901,626366,139806,84672,96466,45547,991119,655847,159501,81383,59957,948618,564717,146636,84070,924001,549576,148186,1013860,583646,1149882
1011039,641055,148062,114926,73480,55887,47175,28222,26907,25234,963422,604885,191242,92868,61136,54182,42632,40684,33367,861353,633679,152342,75626,87711,73702,52307,47659,922171,626366,158806,84672,96466,45547,36585,991119,655847,159501,81383,58957,54717,948618,564717,146636,84070,77249,924001,549576,146816,95139,1013660,583646,151857,1149882,1207479,1128660
963816,695965,197519,97298,68051,60997,52924,47846,42505,39450,851784,632760,154619,82071,98149,85253,63000,40681,54930,922529,627760,161245,88760,105880,68092,96548,50997,993348,667637,161639,85488,65118,62975,52469,949380,566260,190740,90474,83860,64883,924526,553021,149815,100129,76404,1014163,584744,151121,101441,1159342,1289591,254485,1129146,719984,987427
